fid,name,provider,zone,password_hash,balance
586f12cf5db9db19,VoltCharge Central,Adani,ZONE-01,40ad4586247e15c4240a1b996ad77b75d24beacb0634fcce6bc6287fc19e6045,3307.85
d1e41758cbe499fc,EcoJuice North,Tata Power,ZONE-02,738bb94f5d5d7a648f100d3bd9fcf3f7c330b64615426ff87908978ddbd6b0c7,824.75
3eb1843be33984c5,NexGrid Plaza,Adani,ZONE-03,06ba494c4a4802e1b059b4bcc385eb370bc6900320b3b26622394401c0134e24,3503.86
8b8beae3d0f92dbe,QuantumCharge Station,Reliance,ZONE-04,a7041bd90f7067b1444df8590188df36be2560f228fbaead0a57556c344272b6,1214.62
163fd12b62915856,SparkPoint Hub,ChargePoint,ZONE-05,305242c0c19a14f613bb5c6b22dbb58f765456cb87397b01147c4c4c214e06a7,4886.23
b03474bc91d19836,AeroCharge City,Reliance,ZONE-06,2ff98176f611a541c77a48a9dc61bd46a9b24b2014ae543e05de376102befcd3,1545.18
7e635990e5bb5a9b,ElectraDrive East,Reliance,ZONE-07,05b7409d89b0b7849607c424ee9d904c8f26e5a69cc1daa749e4fe43d73edac3,3592.54
704825a2e31946c6,ThunderGrid West,NTPC,ZONE-08,21626ffdb77a4b9bf28173b25a25a4dd1bbb554fdd29bdb33824d2828fbb61c3,1703.54
88020b4bdf07e48d,PulsePower South,NTPC,ZONE-09,06a235a435871fa82f1fdc4286ea32fa3435ad03947c6db9cdbc399252f2021f,778.37
1ea9babb83eabc66,NovaCharge Valley,ChargePoint,ZONE-10,6aa6531821fe78c605e4daaf3e6c18952f1d9210098bd04d3bb3aefe6c17c5d8,3679.45
